PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Marko Lekic,C,11.40%,-,-,6' 9'',6' 10.5'',9' 0.5'',267,7' 1''
Hasheem Thabeet,C,6.70%,-,-,7' 1.25'',7' 2.5'',9' 5'',267.2,7' 6.25''
Artsiom Parakhouski,C,6.00%,9,10.5,6' 10.25'',6' 11.75'',9' 1.5'',268.2,7' 1''
Jared Sullinger,PF,10.70%,9.25,9.75,6' 7.75'',6' 9'',8' 9.5'',268.2,7' 1.25''
Daniel Orton,C,13.80%,8.5,9.75,6' 8.75'',6' 9.5'',9' 2.5'',269.2,7' 4.25''
Robert Whaley,PF-C,-%,-,-,6' 8'',6' 9'',9' 0'',269.4,7' 2''
Jason Keep,C-PF,8.60%,-,-,6' 9.75'',,8' 10.5'',270,7' 0.5''
Aaron Gray,C,10.80%,-,-,7' 0'',7' 1.75'',9' 0.5'',271,7' 3.25''
Tom Timmerrmans,PF-C,15.20%,-,-,6' 10.5'',6' 11.5'',8' 11.5'',272,6' 11''
Aleks Maric,C,10.10%,-,-,6' 9.75'',6' 10.75'',9' 1.5'',273,7' 1''
Udoka Azubuike,C,7.95%,9.5,10,6' 10'',7' 0.25'',9' 4.5'',273.8,7' 7''
DeJuan Blair,PF,12.00%,-,-,6' 5.25'',6' 6.5'',8' 10.5'',276.6,7' 2''
Kennedy Meeks,C,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1''
Andre Drummond,C,7.50%,9.5,9.5,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25''
Frans Steyn,C,12.80%,-,-,7' 1.25'',7' 2.5'',9' 1'',280,7' 2.25''
Derrick Caracter,PF,12.80%,9,10.25,6' 8.25'',6' 9.5'',8' 11.5'',280,7' 0.25''
Marcus Campbell,C,-%,-,-,6' 10.25'',7' 0.25'',9' 6'',280.4,7' 6''
Eric Williams,C-PF,13.00%,-,-,6' 7.25'',6' 8.75'',8' 10.5'',285,7' 4.25''
Tacko Fall,C,6.80%,10.5,10.5,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25''
Kentrell Gransberry,C,17.40%,-,-,6' 6.75'',6' 7.75'',8' 10'',290,6' 10.25''
DeMarcus Cousins,C,16.40%,9.25,10,6' 9.5'',6' 10.75'',9' 5'',291.8,7' 5.75''
Keith Gallon,PF-C,15.10%,9.25,10.5,6' 8.5'',6' 9.5'',9' 1.5'',301.8,7' 4.5''
Dexter Pittman,PF-C,20.80%,10.25,10.5,6' 9.5'',6' 11.5'',9' 3'',302.6,7' 6''
Pavel Podkolzin,C,16.30%,-,-,7' 3.5'',,9' 8'',303,7' 5.75''
Isaac Haas,C,12.55%,10,10.5,7' 1.25'',7' 2.75'',9' 3.5'',303,7' 5''
James Lang,C-PF,21.40%,-,-,6' 8.25'',,9' 2'',316,7' 6.25''
Chris Marcus,C,23.10%,-,-,7' 0'',,9' 6'',334,7' 8''
Andris Biedrins,C,9.30%,-,-,,,,-,
Blake Stepp,PG,8.00%,-,-,,,,-,
Mustafa Al-Sayyad,PF-C,-%,-,-,,,,-,
Jianlian Yi,,-%,-,-,,,,-,
Alex Len,C,6.40%,9,10.75,,,,-,7' 3.5''
Markelle Fultz,PG,-%,-,-,,,,-,
Romeo Langford,SG,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11''
RJ Barrett,SF,-%,-,-,,,,-,
Darius Garland,PG,-%,-,-,,,,-,
De'Andre Hunter,,-%,-,-,,,,-,
Ja Morant,PG,-%,-,-,,,,-,
Chuma Okeke,,-%,-,-,,,,-,
Killian Tillie,,-%,-,-,,,,-,
Zion Williamson,PF,-%,-,-,,,,-,
